"Statistic","Year","Local Government District","Rounded","Unrounded"
"Population totals",2019,"Mid and East Antrim",139100,139066
"Population totals",2019,"Mid Ulster",149200,149230
"Population totals",2019,"Newry, Mourne and Down",181500,181528
"Population totals",2019,"Ards and North Down",162800,162807
"Population totals",2019,"Northern Ireland",1898500,1898519
"Population totals",2020,"Antrim and Newtownabbey",145600,145563
"Population totals",2020,"Armagh City, Banbridge and Craigavon",218200,218162
"Population totals",2020,"Belfast",345000,344994
"Population totals",2020,"Causeway Coast and Glens",142500,142507
"Population totals",2020,"Derry City and Strabane",150800,150831
"Population totals",2020,"Fermanagh and Omagh",116600,116594
"Population totals",2020,"Lisburn and Castlereagh",148100,148102
"Population totals",2020,"Mid and East Antrim",139100,139134
"Population totals",2020,"Mid Ulster",149700,149747
"Population totals",2020,"Newry, Mourne and Down",181700,181683
"Population totals",2020,"Ards and North Down",163200,163206
"Population totals",2020,"Northern Ireland",1900500,1900523
"Population totals",2021,"Antrim and Newtownabbey",145900,145852
"Population totals",2021,"Armagh City, Banbridge and Craigavon",219100,219127
"Population totals",2021,"Belfast",345000,344992
"Population totals",2021,"Causeway Coast and Glens",141700,141664
"Population totals",2021,"Derry City and Strabane",150800,150834
"Population totals",2021,"Fermanagh and Omagh",116900,116926
"Population totals",2021,"Lisburn and Castlereagh",149300,149272
"Population totals",2021,"Mid and East Antrim",139100,139127
"Population totals",2021,"Mid Ulster",150600,150598
"Population totals",2021,"Newry, Mourne and Down",182300,182345
"Population totals",2021,"Ards and North Down",163800,163827
"Population totals",2021,"Northern Ireland",1904600,1904564
"Population totals",2022,"Antrim and Newtownabbey",146100,146148
"Population totals",2022,"Armagh City, Banbridge and Craigavon",220300,220271
"Population totals",2022,"Belfast",348000,348005
"Population totals",2022,"Causeway Coast and Glens",141300,141316
"Population totals",2022,"Derry City and Strabane",150800,150836
"Population totals",2022,"Fermanagh and Omagh",117000,116994
"Population totals",2022,"Lisburn and Castlereagh",149900,149915
"Population totals",2022,"Mid and East Antrim",139200,139200
"Population totals",2022,"Mid Ulster",151000,151001
"Population totals",2022,"Newry, Mourne and Down",182600,182634
"Population totals",2022,"Ards and North Down",164200,164223
"Population totals",2022,"Northern Ireland",1910500,1910543
"Population totals",2023,"Antrim and Newtownabbey",147300,147298
"Population totals",2023,"Armagh City, Banbridge and Craigavon",221800,221754
"Population totals",2023,"Belfast",350500,350533
"Population totals",2023,"Causeway Coast and Glens",141700,141733
"Population totals",2023,"Derry City and Strabane",150900,150859
"Population totals",2023,"Fermanagh and Omagh",117200,117195
"Population totals",2023,"Lisburn and Castlereagh",150800,150822
"Population totals",2023,"Mid and East Antrim",139800,139840
"Population totals",2023,"Mid Ulster",152000,152006
"Population totals",2023,"Newry, Mourne and Down",183400,183429
"Population totals",2023,"Ards and North Down",164900,164913
"Population totals",2023,"Northern Ireland",1920400,1920382
"Population totals",2024,"Antrim and Newtownabbey",148100,148100
"Population totals",2024,"Armagh City, Banbridge and Craigavon",222500,222511
"Population totals",2024,"Belfast",352400,352390
"Population totals",2024,"Causeway Coast and Glens",142000,141954
"Population totals",2024,"Derry City and Strabane",152400,152383
"Population totals",2024,"Fermanagh and Omagh",117700,117687
"Population totals",2024,"Lisburn and Castlereagh",151700,151669
"Population totals",2024,"Mid and East Antrim",139900,139913
"Population totals",2024,"Mid Ulster",152700,152718
"Population totals",2024,"Newry, Mourne and Down",183100,183115
"Population totals",2024,"Ards and North Down",165400,165415
"Population totals",2024,"Northern Ireland",1927900,1927855
